fold_id,train_start,train_end,validation_start,validation_end,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,model_fit_status,interpretation_role
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014093007432112944,0.0738603212319257,0.1994274234336076,0.8446883424746677,0,fitted,estimable_development_fold
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.003703311584692074,0.033943048908884166,0.030986706817839632,0.845232471826709,0,fitted,estimable_development_fold
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.00678105597420125,0.04230302071776976,0.0426875756048424,0.8102184710499809,0,fitted,estimable_development_fold
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0007092785657789126,0.01782870072794917,,,0,fitted,temporal_stress_only
