transformed_feature,standardised_coefficient,odds_ratio_per_standard_deviation,coefficient_role
__intercept__,-4.21115180637845,0.01482927804058445,intercept
daily_load_log1p,0.014784401816381793,1.0148942316736609,predictor_or_missing_indicator
daily_load_sum_7d_log1p,0.04018857306001368,1.0410070615716471,predictor_or_missing_indicator
daily_load_sum_28d_log1p,0.03422459783952894,1.0348169982919435,predictor_or_missing_indicator
fatigue_lag1,0.010256903928057734,1.0103096862739496,predictor_or_missing_indicator
readiness_lag1,-0.10117934191263121,0.9037709343428216,predictor_or_missing_indicator
fatigue_mean_prior_7d,-0.032568045081439116,0.967956582905858,predictor_or_missing_indicator
fatigue_mean_prior_28d,-0.061498034426772284,0.9403547940738199,predictor_or_missing_indicator
readiness_mean_prior_7d,-0.17055378265819923,0.8431977389932949,predictor_or_missing_indicator
readiness_mean_prior_28d,-0.1455767862173933,0.8645235040354973,predictor_or_missing_indicator
missingindicator_fatigue_lag1,-0.021667760243280824,0.9785652993455672,predictor_or_missing_indicator
missingindicator_readiness_lag1,-0.023627361021097807,0.9766495796597541,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_7d,-0.053247614295399995,0.948145209105272,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_28d,-0.03582541000998946,0.9648087247251026,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_7d,-0.053163083068553,0.9482253603706214,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_28d,-0.036013130262952775,0.9646276275855682,predictor_or_missing_indicator
