feature_set,model_id,feature_count,selected_regularisation_c,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,mean_prediction,mean_calibration_error,calibration_intercept,calibration_slope
F1,M1-F1,9,0.001,8690.0,28.0,0.003222094361334868,0.0036999925211980904,0.031272274328324294,0.01663955890280348,0.8078017284032062,0.02004763281228146,0.016825538450946594,-0.373676503439218,1.4222051907706612
F2,M1-F2,17,0.001,8690.0,28.0,0.003222094361334868,0.0037128834913312046,0.03137804224468822,0.016376559546332686,0.8078924365867335,0.02018626413080723,0.016964169769472362,-0.3757209569300988,1.4251925237025893
F3,M1-F3,23,0.001,8690.0,28.0,0.003222094361334868,0.003612646835285226,0.030367344605661685,0.01943205569839518,0.851053039548768,0.019650020032066826,0.01642792567073196,-0.3563656090357231,1.4328096221107247
