model_id,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,heldout_player_count,estimable_player_count,zero_positive_player_count,training_not_estimable_player_count,feature_set
M1-F1,25405.0,308.0,0.012123597716984846,0.011977458341399643,0.06397572157409165,0.023315685878576374,0.6425784191104748,50,12,38,0,F1
M1-F2,25405.0,308.0,0.012123597716984846,0.011986727405630894,0.06427407236163973,0.021857291315767476,0.6262568118815879,50,12,38,0,F2
M1-F3,25405.0,308.0,0.012123597716984846,0.01197461374264493,0.06405293334428386,0.022308170813787043,0.6309277147524747,50,12,38,0,F3
