baseline_id,probability_definition,ranking_definition,training_only_parameters
M0_GLOBAL_PREVALENCE,constant training-period target prevalence,none; all validation scores are identical,true
M0_RECENT_LOAD,training target rate above/below the training-only load threshold,daily_load_sum_7d_log1p,true
