predictor,estimable_fold_count,constant_sign,sign_when_constant,min_abs_coefficient,max_abs_coefficient,coefficient_iqr,mean_magnitude_rank,magnitude_rank_range
daily_load_log1p,54,false,,0.0005674192504094306,0.025021535492287392,0.0020886688342827446,8.851851851851851,4
daily_load_sum_7d_log1p,54,true,1,0.021798036962731932,0.04255701974125715,0.0028024634669328446,5.444444444444445,1
daily_load_sum_28d_log1p,54,true,1,0.02086867348167193,0.04294600367510968,0.0029057369074455067,6.814814814814815,3
fatigue_lag1,54,true,1,0.006943843022905023,0.030776575136427353,0.001524430503796293,8.0,5
readiness_lag1,54,true,-1,0.06410015412524164,0.11791639431775212,0.0018111348998671728,3.0,0
fatigue_mean_prior_7d,54,true,-1,0.00910438381161177,0.044084205656182526,0.002334364044633608,5.777777777777778,4
fatigue_mean_prior_28d,54,true,-1,0.0168131380243329,0.07050454244260025,0.002826069301764822,4.111111111111111,4
readiness_mean_prior_7d,54,true,-1,0.1191018047770786,0.1878751175959684,0.0017349237398270878,1.0,0
readiness_mean_prior_28d,54,true,-1,0.08661030278994804,0.1670813229553564,0.003383527087572641,2.0,0
