arm,player_id,heldout_player_days,heldout_positive_days,brier_score,average_precision,roc_auc
boosted,TeamB-f67673c0-d467-4832-9519-55133a2647e5,512,0,0.0001096432147189373,,
f1_logistic,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,512,0,0.00006606062037189454,,
f1_logistic,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,512,0,0.00014890900566259699,,
f1_logistic,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,512,0,0.00011847663339122819,,
f1_logistic,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,512,0,0.00009251271420712465,,
f1_logistic,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,482,57,0.1158610747700298,0.10913381585416827,0.4335190918472652
f1_logistic,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,438,93,0.20579713481789771,0.252594868288463,0.46690042075736327
f1_logistic,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,509,21,0.04041628565016452,0.03718811640379999,0.4734582357533177
f1_logistic,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,512,0,0.0002170566694343088,,
f1_logistic,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,509,14,0.026930392941007446,0.08159300500418824,0.8062049062049061
f1_logistic,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,458,36,0.07566774848132381,0.5450056832183495,0.7532253817798841
f1_logistic,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,512,0,0.00006250221657073914,,
f1_logistic,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,512,0,0.0000738121968580027,,
f1_logistic,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,509,14,0.028986128156085384,0.03037238218113676,0.43953823953823956
f1_logistic,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,512,0,0.00007738584615823197,,
f1_logistic,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,512,0,0.00006992452278915614,,
f1_logistic,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,511,7,0.013461382314641912,0.029948657524026083,0.7570861678004535
f1_logistic,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,512,0,0.000055875163107407276,,
f1_logistic,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,512,0,0.00006660481155414186,,
f1_logistic,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,511,7,0.013651105776599453,0.014314928425357873,0.17757936507936506
f1_logistic,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,511,7,0.013878378145824773,0.0136986301369863,0.04365079365079366
f1_logistic,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,501,22,0.04256538962593197,0.0846698896469989,0.5346840007591573
f1_logistic,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,502,24,0.04628282322916525,0.1528918347853981,0.7129532775453278
f1_logistic,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,512,0,0.00006759783917274816,,
f1_logistic,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,512,0,0.00015939439173897905,,
f1_logistic,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,512,0,0.00012234881243329952,,
f1_logistic,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,512,0,0.0001774592873102518,,
f1_logistic,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,512,0,0.00024349816711151452,,
f1_logistic,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,512,0,0.00006759783917274828,,
f1_logistic,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,512,0,0.00015018922088004858,,
f1_logistic,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,512,0,0.00011605551387655716,,
f1_logistic,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,508,6,0.011925551040845488,0.0070767448351278465,0.039176626826029216
f1_logistic,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,512,0,0.00006374623496547323,,
