episode_gap_days,arm,pooled_positive_days,discrimination_positive_days,brier_score,log_loss,average_precision,roc_auc,calibration_intercept,calibration_slope,mean_prediction,observed_rate
3,boosted,104,104,0.006143345416859073,0.040308930610189427,0.08606595208154488,0.7887328381793253,4.138300705576802,2.5379221107797747,0.020385455315357768,0.006184953910199227
3,f1_logistic,104,104,0.006324593504925363,0.042008988471051396,0.09666847794898005,0.8355366508241978,2.0073194052313115,2.0194739348262893,0.023011779474262563,0.006184953910199227
1,boosted,113,113,0.00669045003010932,0.04405534185777529,0.08556630822143384,0.7882695086730758,2.6584513084374635,2.2200071498801406,0.0240775747257102,0.0067165953399904894
1,f1_logistic,113,113,0.007039696328904715,0.04625879141066811,0.10813751496786117,0.8466082590683031,0.9607632407156443,1.804461860868034,0.027462865842769232,0.0067165953399904894
