arm,average_precision,roc_auc,brier_score,heldout_player_count,estimable_player_count,zero_positive_player_count,training_not_estimable_player_count
boosted,0.026889208262920895,0.5549989417682768,0.011930344686016121,50,12,38,0
f1_logistic,0.023315685878576374,0.6425784191104748,0.01197745834139969,50,12,38,0
