arm,pooled_player_days,pooled_positive_days,prevalence,brier_score,log_loss,mean_prediction,observed_rate,calibration_intercept,calibration_slope,discrimination_player_days,discrimination_positive_days,average_precision,roc_auc,estimable_fold_count
boosted,16815,104,0.006184953910199227,0.006143345416859073,0.040308930610189427,0.020385455315357768,0.006184953910199227,4.138300705576802,2.5379221107797747,12615,104,0.08606595208154488,0.7887328381793253,3
f1_logistic,16815,104,0.006184953910199227,0.006324593504925363,0.042008988471051396,0.023011779474262563,0.006184953910199227,2.0073194052313115,2.0194739348262893,12615,104,0.09666847794898005,0.8355366508241978,3
