model_id,review_rate,eligible_player_days,alert_count,alerts_per_100_player_days,positive_alert_days,represented_onsets,captured_onsets,event_capture_rate,false_alerts_per_captured_onset,arm
EXP-007-cox,0.01,16815,169,1.0050550104073743,23,18,8,0.4444444444444444,18.25,cox
EXP-007-cox,0.025,16815,421,2.503716919417187,39,18,8,0.4444444444444444,47.75,cox
EXP-007-cox,0.05,16815,841,5.001486767766875,48,18,9,0.5,88.11111111111111,cox
EXP-007-f1_logistic,0.01,16815,169,1.0050550104073743,8,18,2,0.1111111111111111,80.5,f1_logistic
EXP-007-f1_logistic,0.025,16815,421,2.503716919417187,38,18,11,0.6111111111111112,34.81818181818182,f1_logistic
EXP-007-f1_logistic,0.05,16815,841,5.001486767766875,56,18,13,0.7222222222222222,60.38461538461539,f1_logistic
