reference_model_id,candidate_model_id,method,metric,difference_direction,requested_iterations,valid_iterations,undefined_iterations,lower_95,median,upper_95
EXP-007-f1_logistic,EXP-007-cox,player_cluster_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.0007282210026055177,-0.0004020824331774733,0.00002811933292999349
EXP-007-f1_logistic,EXP-007-cox,temporal_week_block_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.0007381788303932998,-0.00039336279405137583,-0.00010045790616694796
EXP-007-f1_logistic,EXP-007-cox,player_cluster_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.10380675011411458,-0.01768993281836205,0.09380022965561716
EXP-007-f1_logistic,EXP-007-cox,temporal_week_block_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.13424287768690352,-0.01845517481219025,0.07478335009684388
