fold_id,arm,training_events,heldout_player_days,heldout_positive_days,brier_score,log_loss,average_precision,roc_auc,interpretation_role
RO1,cox,37,4226,62,0.01376002746747308,0.25619450962988044,0.12174866518204489,0.7614886430541352,estimable_development_fold
RO1,f1_logistic,37,4226,62,0.014093007432112946,0.07386032123192574,0.1994274234336076,0.8446883424746677,estimable_development_fold
RO2,cox,48,4248,14,0.0034998960565987935,0.07615307116085553,0.010709610074755746,0.6828227275794588,estimable_development_fold
RO2,f1_logistic,48,4248,14,0.0037033115846920543,0.03394304890888381,0.030986706817839632,0.845232471826709,estimable_development_fold
RO3,cox,51,4141,28,0.006369818720697052,0.18745161407476923,0.1277337046272352,0.6094916814282241,estimable_development_fold
RO3,f1_logistic,51,4141,28,0.006781055974201256,0.04230302071776971,0.0426875756048424,0.8102184710499809,estimable_development_fold
RO4,cox,55,4200,0,0.00007145512180572958,0.001297142895872861,,,temporal_stress_only
RO4,f1_logistic,55,4200,0,0.0007092785657789124,0.01782870072794959,,,temporal_stress_only
