layer,relation,player_id,start_date,end_date,unique_dates,span_days,unobserved_span_days
bronze,daily_metrics,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-9c845827-99f9-47f4-977d-2200a107a013,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-01,2021-12-31,731,731,0
bronze,daily_metrics,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2020-01-01,2021-12-31,731,731,0
bronze,game_performance_reports,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,2021-08-11,2021-09-26,3,47,44
bronze,game_performance_reports,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-06-20,2020-07-11,4,22,18
bronze,game_performance_reports,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2021-08-18,2021-10-13,6,57,51
bronze,game_performance_reports,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2021-08-18,2021-11-13,11,88,77
bronze,game_performance_reports,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2021-08-25,2021-09-12,4,19,15
bronze,game_performance_reports,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2021-08-22,2021-10-16,8,56,48
bronze,game_performance_reports,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2021-04-17,2021-11-07,8,205,197
bronze,game_performance_reports,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,2020-07-03,2021-08-21,3,415,412
bronze,game_performance_reports,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2021-10-02,2021-10-16,4,15,11
bronze,game_performance_reports,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,2021-08-18,2021-10-16,10,60,50
bronze,game_performance_reports,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-07-25,2020-11-10,16,109,93
bronze,game_performance_reports,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,2021-08-21,2021-10-16,6,57,51
bronze,game_performance_reports,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2021-08-18,2021-10-09,5,53,48
bronze,game_performance_reports,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,2021-08-18,2021-10-16,8,60,52
bronze,game_performance_reports,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2021-08-18,2021-11-07,12,82,70
bronze,game_performance_reports,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2021-08-18,2021-10-22,13,66,53
bronze,game_performance_reports,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2021-08-18,2021-11-13,10,88,78
bronze,game_performance_reports,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,2021-09-25,2021-11-17,7,54,47
bronze,game_performance_reports,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,2020-07-11,2020-11-07,5,120,115
bronze,game_performance_reports,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2021-08-18,2021-11-07,9,82,73
bronze,game_performance_reports,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2021-08-22,2021-11-13,9,84,75
bronze,game_performance_reports,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,2021-09-11,2021-10-09,4,29,25
bronze,game_performance_reports,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,2020-08-12,2021-10-18,13,433,420
bronze,game_performance_reports,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2021-08-18,2021-10-17,8,61,53
bronze,game_performance_reports,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2021-08-07,2021-08-07,1,1,0
bronze,game_performance_reports,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,2021-08-18,2021-10-02,5,46,41
bronze,game_performance_reports,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,2021-08-11,2021-11-07,14,89,75
bronze,game_performance_reports,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2021-08-18,2021-10-17,10,61,51
bronze,game_performance_reports,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2021-10-02,2021-10-17,3,16,13
bronze,game_performance_reports,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2021-08-15,2021-08-15,1,1,0
bronze,game_performance_reports,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,2021-10-02,2021-10-31,4,30,26
bronze,game_performance_reports,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,2021-10-02,2021-10-09,2,8,6
bronze,game_performance_reports,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2021-08-14,2021-10-17,11,65,54
bronze,game_performance_reports,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2021-10-10,2021-11-07,4,29,25
bronze,game_performance_reports,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2021-10-02,2021-10-17,3,16,13
bronze,game_performance_reports,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2021-08-29,2021-10-14,3,47,44
bronze,illness_reports,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-08-11,2021-12-09,7,486,479
bronze,illness_reports,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,2020-09-16,2020-09-16,1,1,0
bronze,illness_reports,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2021-10-25,2021-11-10,4,17,13
bronze,illness_reports,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2021-09-12,2021-09-14,3,3,0
bronze,injury_reports,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-03-21,2021-11-03,27,593,566
bronze,injury_reports,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-03-21,2020-11-08,46,233,187
bronze,injury_reports,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-04-29,2020-10-16,3,171,168
