episode_gap_days,arm,pooled_positive_days,discrimination_positive_days,brier_score,log_loss,average_precision,roc_auc,calibration_intercept,calibration_slope,mean_prediction,observed_rate
3,F1_raw,104,104,0.006324593504925363,0.042008988471051396,0.09666847794898005,0.8355366508241978,2.0073194052313115,2.0194739348262893,0.023011779474262563,0.006184953910199227
3,F1_platt,104,104,0.007765206891149171,0.04483460690811288,0.09501172544846126,0.8382865386152494,-1.4826197788014466,1.0442708697650354,0.02742295796187504,0.006184953910199227
3,F1_isotonic,104,104,0.007508776628116689,0.06209084251554903,0.07185280577413401,0.8242838609715758,-4.435530259458399,0.12884966817976842,0.025880362561156944,0.006184953910199227
3,F3_raw,104,104,0.00628654328944444,0.04146695963451542,0.07906727416451077,0.8524413900383048,2.5756518602481666,2.2220641456179715,0.02304914206901445,0.006184953910199227
3,F3_platt,104,104,0.007246034730642456,0.04300098516085333,0.07556839864087211,0.8597849277251404,-1.0124946182702486,1.2002357133463315,0.02652694396072552,0.006184953910199227
3,F3_isotonic,104,104,0.007402178126311413,0.052596994126242184,0.07871841108034669,0.8640600118049963,-4.069015177629904,0.22507056222154934,0.024226425131206715,0.006184953910199227
1,F1_raw,113,113,0.007039696328904715,0.04625879141066811,0.10813751496786117,0.8466082590683031,0.9607632407156443,1.804461860868034,0.027462865842769232,0.0067165953399904894
1,F1_platt,113,113,0.00903481601194881,0.049726697178218544,0.10585590026842617,0.8508883863615948,-1.6541078023109081,1.022765921760509,0.03185518046820152,0.0067165953399904894
1,F1_isotonic,113,113,0.009224996783378321,0.06563299331890673,0.09109821458175033,0.8320504504708423,-4.24684645150016,0.16080288248855087,0.030579243203674347,0.0067165953399904894
1,F3_raw,113,113,0.006979559473417617,0.04562216660096508,0.09084293529853864,0.8606451101791486,1.4304343526509675,1.9814281970717775,0.027347870873572832,0.0067165953399904894
1,F3_platt,113,113,0.00843637866448526,0.047629702919086456,0.08290676579280229,0.8666730799020756,-1.2833443031408593,1.148361355059991,0.03068543257065289,0.0067165953399904894
1,F3_isotonic,113,113,0.008678654486803852,0.050491479905911615,0.08747241766729369,0.8677132265199544,-2.0540080637575198,0.8325853690271793,0.029487122527953578,0.0067165953399904894
