predictor,availability_subset,arm,player_days,positive_days,brier_score,log_loss,average_precision,roc_auc,mean_prediction,observed_rate
fatigue_lag1_robust_z_prior,robust_fatigue_observed,raw,2475,61,0.023581260984979018,0.10940307195751665,0.07028535235908807,0.7318239232890108,0.0373123941170168,0.024646464646464646
fatigue_lag1_robust_z_prior,robust_fatigue_observed,platt,2475,61,0.026040563785590273,0.11948496486839114,0.06725707781103332,0.7231789968354001,0.056562758386806106,0.024646464646464646
fatigue_lag1_robust_z_prior,robust_fatigue_observed,isotonic,2475,61,0.028487358509629555,0.2030354423702504,0.09023194877924536,0.7411105980143154,0.0573408300622331,0.024646464646464646
fatigue_lag1_robust_z_prior,robust_fatigue_absent,raw,14340,43,0.0033015763231649346,0.029741584599687787,0.04104178414748938,0.908320333912953,0.020587388315959656,0.00299860529986053
fatigue_lag1_robust_z_prior,robust_fatigue_absent,platt,14340,43,0.004002209109234097,0.029800298286644405,0.03707507480224564,0.9025149201897942,0.021342938332793198,0.00299860529986053
fatigue_lag1_robust_z_prior,robust_fatigue_absent,isotonic,14340,43,0.0037629995036675976,0.026632199188730304,0.103888035843841,0.9104959407649352,0.018511072815705288,0.00299860529986053
