arm,predictor_set,calibration_method,model_id,pooled_player_days,pooled_positive_days,prevalence,brier_score,log_loss,mean_prediction,observed_rate,mean_calibration_error,calibration_intercept,calibration_slope,discrimination_player_days,discrimination_positive_days,average_precision,roc_auc
F1_raw,F1,raw,M1-F1_raw-CAL,16815,104,0.006184953910199227,0.006324593504925363,0.042008988471051396,0.023011779474262563,0.006184953910199227,0.016826825564063334,2.0073194052313115,2.0194739348262893,12615,104,0.09666847794898005,0.8355366508241978
F1_platt,F1,platt,M1-F1_platt-CAL,16815,104,0.006184953910199227,0.007765206891149171,0.04483460690811288,0.02742295796187504,0.006184953910199227,0.021238004051675814,-1.4826197788014466,1.0442708697650354,12615,104,0.09501172544846126,0.8382865386152494
F1_isotonic,F1,isotonic,M1-F1_isotonic-CAL,16815,104,0.006184953910199227,0.007508776628116689,0.06209084251554903,0.025880362561156944,0.006184953910199227,0.019695408650957716,-4.435530259458399,0.12884966817976842,12615,104,0.07185280577413401,0.8242838609715758
F3_raw,F3,raw,M1-F3_raw-CAL,16815,104,0.006184953910199227,0.00628654328944444,0.04146695963451542,0.02304914206901445,0.006184953910199227,0.01686418815881522,2.5756518602481666,2.2220641456179715,12615,104,0.07906727416451077,0.8524413900383048
F3_platt,F3,platt,M1-F3_platt-CAL,16815,104,0.006184953910199227,0.007246034730642456,0.04300098516085333,0.02652694396072552,0.006184953910199227,0.020341990050526296,-1.0124946182702486,1.2002357133463315,12615,104,0.07556839864087211,0.8597849277251404
F3_isotonic,F3,isotonic,M1-F3_isotonic-CAL,16815,104,0.006184953910199227,0.007402178126311413,0.052596994126242184,0.024226425131206715,0.006184953910199227,0.018041471221007487,-4.069015177629904,0.22507056222154934,12615,104,0.07871841108034669,0.8640600118049963
