fold_id,arm,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,log_loss,average_precision,roc_auc,interpretation_role
RO1,raw,197,4226,62,0.014017526834508581,0.07297835186881899,0.23263449291711366,0.8692014502184623,estimable_development_fold
RO1,platt,197,4226,62,0.013835101160752141,0.07160877894326477,0.23263449291711366,0.8692014502184623,estimable_development_fold
RO1,isotonic,197,4226,62,0.014057466287035445,0.06639129229226724,0.1813620088570222,0.870431269560906,estimable_development_fold
RO2,raw,265,4248,14,0.003795471555419552,0.034367956009274406,0.01634520235250308,0.7980801673527229,estimable_development_fold
RO2,platt,265,4248,14,0.00466809429155719,0.034932696432799185,0.01634520235250308,0.7980801673527229,estimable_development_fold
RO2,isotonic,265,4248,14,0.006279302696383313,0.08367230999215822,0.01713726647547703,0.7991936028072071,estimable_development_fold
RO3,raw,280,4141,28,0.006773099465475924,0.04155548833158833,0.047624351544611976,0.8516289812788719,estimable_development_fold
RO3,platt,280,4141,28,0.007749266490605276,0.043253482145584506,0.047624351544611976,0.8516289812788719,estimable_development_fold
RO3,isotonic,280,4141,28,0.007708452448255476,0.04177491693288281,0.04230261547173614,0.8507823625438504,estimable_development_fold
RO4,raw,308,4200,0,0.0005475211798611726,0.016853346892438736,,,temporal_stress_only
RO4,platt,308,4200,0,0.0027274189053054596,0.022127643250979896,,,temporal_stress_only
RO4,isotonic,308,4200,0,0.0015394269577267753,0.01795689312854405,,,temporal_stress_only
