regularisation_c,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,selected
0.001,8690.0,28.0,0.003222094361334868,0.0036999925211980904,0.031272274328324294,0.01663955890280348,0.8078017284032062,0,true
0.01,8690.0,28.0,0.003222094361334868,0.004951172156978823,0.03329693086279259,0.01911010107313904,0.8249208364943761,0,false
0.1,8690.0,28.0,0.003222094361334868,0.005448166914620027,0.034098932131219735,0.018773874527368756,0.8287800573935415,0,false
1.0,8690.0,28.0,0.003222094361334868,0.00561510242480399,0.034847873873840494,0.017322192032931092,0.7480456509549097,0,false
10.0,8690.0,28.0,0.003222094361334868,0.005718906042347871,0.035333874236791046,0.01671565829572567,0.7323283966091632,0,false
