player_id,team_id,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,metric_support,model_fit_status,convergence_warning_count
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,308,512.0,0.0,0.0,0.00011605551387665543,0.010483894840366161,,,zero_positive_support,fitted,0
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,302,508.0,6.0,0.011811023622047244,0.011925551040845474,0.07549612877822587,0.0070767448351278465,0.039176626826029216,estimable,fitted,0
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,308,512.0,0.0,0.0,0.00006374623496547405,0.00798907200652586,,,zero_positive_support,fitted,0
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,308,512.0,0.0,0.0,0.0000771085426375938,0.008649766207689358,,,zero_positive_support,fitted,0
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,308,512.0,0.0,0.0,0.00007933812892687546,0.008808903749525587,,,zero_positive_support,fitted,0
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,308,512.0,0.0,0.0,0.00006759783917275156,0.008255775836874448,,,zero_positive_support,fitted,0
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,308,512.0,0.0,0.0,0.00014160895087891195,0.010942877716366643,,,zero_positive_support,fitted,0
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,308,512.0,0.0,0.0,0.00006759783917275156,0.008255775836874448,,,zero_positive_support,fitted,0
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,308,512.0,0.0,0.0,0.00011798439913755115,0.01052451261869998,,,zero_positive_support,fitted,0
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,308,512.0,0.0,0.0,0.000048340543525303095,0.006688388271672732,,,zero_positive_support,fitted,0
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,308,512.0,0.0,0.0,0.0002254938845957699,0.011538427325522627,,,zero_positive_support,fitted,0
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,308,512.0,0.0,0.0,0.000058598768860855635,0.007593194149976201,,,zero_positive_support,fitted,0
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,308,512.0,0.0,0.0,0.00007374664010227408,0.008325872033208129,,,zero_positive_support,fitted,0
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,308,512.0,0.0,0.0,0.000295728161028545,0.01574228379487913,,,zero_positive_support,fitted,0
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,308,512.0,0.0,0.0,0.000627757443725055,0.019876989584936573,,,zero_positive_support,fitted,0
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,308,512.0,0.0,0.0,0.00019911537135811733,0.01233636430738007,,,zero_positive_support,fitted,0
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,308,512.0,0.0,0.0,0.00021613561113848512,0.014356452520831661,,,zero_positive_support,fitted,0
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,308,512.0,0.0,0.0,0.00018601080895338002,0.011608935761475356,,,zero_positive_support,fitted,0
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,308,512.0,0.0,0.0,0.00007779291894557605,0.008617483370732279,,,zero_positive_support,fitted,0
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,308,512.0,0.0,0.0,0.0011106641133728026,0.03149087038126278,,,zero_positive_support,fitted,0
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,308,512.0,0.0,0.0,0.00006973286586856709,0.008370673815659164,,,zero_positive_support,fitted,0
