regularisation_c,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,selected
0.001,8690.0,28.0,0.003222094361334868,0.0037128834913312046,0.03137804224468822,0.016376559546332686,0.8078924365867335,0,true
0.01,8690.0,28.0,0.003222094361334868,0.004886109814622544,0.033130007125162904,0.02006914955529108,0.8373849655308903,0,false
0.1,8690.0,28.0,0.003222094361334868,0.005172786213722099,0.033580725602758925,0.020505778821212045,0.833327835867665,0,false
1.0,8690.0,28.0,0.003222094361334868,0.005193275887038122,0.033541860880326624,0.020987984010043877,0.8640449252894415,0,false
10.0,8690.0,28.0,0.003222094361334868,0.005431493762618581,0.03428384651500183,0.01921460186257212,0.8528259722268035,0,false
