fold_id,train_start,train_end,validation_start,validation_end,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,model_fit_status,interpretation_role
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014102649441722116,0.0740293100602556,0.20296723820198834,0.8444094543088222,0,fitted,estimable_development_fold
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.00370832169860257,0.03391388829385506,0.03311263427132935,0.8453168229975032,0,fitted,estimable_development_fold
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.006789218932037938,0.04240640537803711,0.040283311174628994,0.8087683651140982,0,fitted,estimable_development_fold
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0007244479183374543,0.017949666291248056,,,0,fitted,temporal_stress_only
