team_id,month,calendar_days,wellness_report_days,full_report_days,mean_metric_count,recorded_session_days,wellness_report_rate,full_report_rate,recorded_session_day_rate
TeamA,2020-01-01,837,0,0,0.0,3,0.0,0.0,0.0035842293906810036
TeamB,2020-01-01,713,129,128,1.2650771388499298,85,0.18092566619915848,0.17952314165497896,0.11921458625525946
TeamA,2020-02-01,783,0,0,0.0,0,0.0,0.0,0.0
TeamB,2020-02-01,667,230,225,2.4062968515742127,190,0.3448275862068966,0.3373313343328336,0.2848575712143928
TeamA,2020-03-01,837,161,160,1.3452807646356033,143,0.1923536439665472,0.1911589008363202,0.17084826762246116
TeamB,2020-03-01,713,304,301,2.9803646563814867,236,0.426367461430575,0.4221598877980365,0.33099579242636745
TeamA,2020-04-01,810,334,332,2.8839506172839506,302,0.4123456790123457,0.40987654320987654,0.3728395061728395
TeamB,2020-04-01,690,260,259,2.636231884057971,225,0.37681159420289856,0.3753623188405797,0.32608695652173914
TeamA,2020-05-01,837,384,384,3.2114695340501793,328,0.45878136200716846,0.45878136200716846,0.3918757467144564
TeamB,2020-05-01,713,222,222,2.179523141654979,176,0.31136044880785413,0.31136044880785413,0.24684431977559607
TeamA,2020-06-01,810,438,437,3.7839506172839505,398,0.5407407407407407,0.5395061728395062,0.49135802469135803
TeamB,2020-06-01,690,248,248,2.5159420289855072,214,0.35942028985507246,0.35942028985507246,0.3101449275362319
TeamA,2020-07-01,837,497,496,4.15531660692951,442,0.5937873357228196,0.5925925925925926,0.5280764635603346
TeamB,2020-07-01,713,245,245,2.405329593267882,221,0.3436185133239832,0.3436185133239832,0.30995792426367463
TeamA,2020-08-01,837,560,558,4.681003584229391,512,0.6690561529271206,0.6666666666666666,0.6117084826762246
TeamB,2020-08-01,713,290,290,2.847124824684432,219,0.4067321178120617,0.4067321178120617,0.3071528751753156
TeamA,2020-09-01,810,571,566,4.9148148148148145,508,0.7049382716049383,0.6987654320987654,0.6271604938271605
TeamB,2020-09-01,690,254,253,2.57536231884058,197,0.3681159420289855,0.36666666666666664,0.2855072463768116
TeamA,2020-10-01,837,555,553,4.6332138590203105,521,0.6630824372759857,0.6606929510155317,0.6224611708482676
TeamB,2020-10-01,713,268,268,2.6311360448807855,207,0.3758765778401122,0.3758765778401122,0.2903225806451613
TeamA,2020-11-01,810,510,510,4.407407407407407,480,0.6296296296296297,0.6296296296296297,0.5925925925925926
TeamB,2020-11-01,690,231,231,2.3434782608695652,202,0.3347826086956522,0.3347826086956522,0.2927536231884058
TeamA,2020-12-01,837,323,323,2.7013142174432496,358,0.3859020310633214,0.3859020310633214,0.42771804062126645
TeamB,2020-12-01,713,71,71,0.697054698457223,59,0.09957924263674614,0.09957924263674614,0.08274894810659186
TeamA,2021-01-01,837,549,549,4.591397849462366,518,0.6559139784946236,0.6559139784946236,0.6188769414575866
TeamB,2021-01-01,713,222,222,2.179523141654979,176,0.31136044880785413,0.31136044880785413,0.24684431977559607
TeamA,2021-02-01,756,575,573,5.3201058201058204,514,0.7605820105820106,0.7579365079365079,0.6798941798941799
TeamB,2021-02-01,644,286,281,3.099378881987578,230,0.4440993788819876,0.4363354037267081,0.35714285714285715
TeamA,2021-03-01,837,617,606,5.144563918757467,572,0.7371565113500598,0.7240143369175627,0.6833930704898447
TeamB,2021-03-01,713,384,376,3.758765778401122,322,0.5385694249649369,0.5273492286115007,0.45161290322580644
TeamA,2021-04-01,810,497,489,4.285185185185185,483,0.6135802469135803,0.6037037037037037,0.5962962962962963
TeamB,2021-04-01,690,277,271,2.801449275362319,219,0.40144927536231884,0.3927536231884058,0.3173913043478261
TeamA,2021-05-01,837,526,525,4.397849462365591,450,0.6284348864994026,0.6272401433691757,0.5376344086021505
TeamB,2021-05-01,713,339,336,3.32398316970547,241,0.47545582047685836,0.47124824684431976,0.3380084151472651
TeamA,2021-06-01,810,545,545,4.709876543209877,432,0.6728395061728395,0.6728395061728395,0.5333333333333333
TeamB,2021-06-01,690,272,272,2.7594202898550724,202,0.39420289855072466,0.39420289855072466,0.2927536231884058
TeamA,2021-07-01,837,600,598,5.015531660692951,409,0.7168458781362007,0.7144563918757467,0.4886499402628435
TeamB,2021-07-01,713,181,181,1.7769985974754559,123,0.2538569424964937,0.2538569424964937,0.17251051893408134
TeamA,2021-08-01,837,687,685,5.743130227001195,595,0.8207885304659498,0.8183990442054958,0.7108721624850657
TeamB,2021-08-01,713,411,411,4.035063113604488,292,0.576437587657784,0.576437587657784,0.40953716690042075
TeamA,2021-09-01,810,643,642,5.555555555555555,509,0.7938271604938272,0.7925925925925926,0.6283950617283951
TeamB,2021-09-01,690,376,376,3.8144927536231883,251,0.5449275362318841,0.5449275362318841,0.36376811594202896
TeamA,2021-10-01,837,614,612,5.132616487455197,475,0.7335722819593787,0.7311827956989247,0.5675029868578255
TeamB,2021-10-01,713,358,358,3.514726507713885,236,0.5021037868162693,0.5021037868162693,0.33099579242636745
TeamA,2021-11-01,810,458,458,3.9580246913580246,318,0.5654320987654321,0.5654320987654321,0.3925925925925926
TeamB,2021-11-01,690,121,121,1.227536231884058,67,0.1753623188405797,0.1753623188405797,0.09710144927536232
TeamA,2021-12-01,837,385,384,3.218637992831541,332,0.45997610513739545,0.45878136200716846,0.3966547192353644
TeamB,2021-12-01,713,0,0,0.0,5,0.0,0.0,0.0070126227208976155
