relative_day,available_onsets,wellness_report_rate,full_wellness_report_rate,mean_wellness_metric_count,daily_load_observed_rate,session_record_rate
-28,68,0.5441176470588235,0.5441176470588235,3.8088235294117645,1.0,0.4852941176470588
-27,69,0.5217391304347826,0.5217391304347826,3.652173913043478,1.0,0.4782608695652174
-26,69,0.5797101449275363,0.5797101449275363,4.057971014492754,1.0,0.43478260869565216
-25,71,0.5774647887323944,0.5774647887323944,4.042253521126761,1.0,0.49295774647887325
-24,71,0.5492957746478874,0.5352112676056338,3.8309859154929575,1.0,0.5070422535211268
-23,71,0.5352112676056338,0.5211267605633803,3.732394366197183,1.0,0.4225352112676056
-22,72,0.5416666666666666,0.5416666666666666,3.7916666666666665,1.0,0.4861111111111111
-21,72,0.5694444444444444,0.5694444444444444,3.986111111111111,1.0,0.5
-20,72,0.5555555555555556,0.5416666666666666,3.875,1.0,0.4722222222222222
-19,72,0.5833333333333334,0.5555555555555556,4.055555555555555,1.0,0.4583333333333333
-18,72,0.5972222222222222,0.5972222222222222,4.180555555555555,1.0,0.5
-17,72,0.5833333333333334,0.5833333333333334,4.083333333333333,1.0,0.5694444444444444
-16,72,0.625,0.6111111111111112,4.361111111111111,1.0,0.5277777777777778
-15,72,0.6666666666666666,0.6527777777777778,4.652777777777778,1.0,0.5277777777777778
-14,72,0.6666666666666666,0.6666666666666666,4.666666666666667,1.0,0.5277777777777778
-13,73,0.6575342465753424,0.6575342465753424,4.602739726027397,1.0,0.5616438356164384
-12,73,0.6986301369863014,0.6986301369863014,4.890410958904109,1.0,0.5616438356164384
-11,73,0.6575342465753424,0.6575342465753424,4.602739726027397,1.0,0.589041095890411
-10,73,0.6438356164383562,0.6301369863013698,4.493150684931507,1.0,0.5753424657534246
-9,73,0.7397260273972602,0.726027397260274,5.164383561643835,1.0,0.6164383561643836
-8,73,0.7671232876712328,0.7671232876712328,5.36986301369863,1.0,0.5616438356164384
-7,73,0.6712328767123288,0.6712328767123288,4.698630136986301,1.0,0.547945205479452
-6,73,0.6986301369863014,0.6986301369863014,4.890410958904109,1.0,0.5616438356164384
-5,73,0.6712328767123288,0.6575342465753424,4.684931506849315,1.0,0.5753424657534246
-4,73,0.6438356164383562,0.6301369863013698,4.493150684931507,1.0,0.6027397260273972
-3,73,0.6712328767123288,0.6438356164383562,4.657534246575342,1.0,0.6027397260273972
-2,73,0.6986301369863014,0.684931506849315,4.876712328767123,1.0,0.589041095890411
-1,73,0.684931506849315,0.684931506849315,4.794520547945205,1.0,0.5753424657534246
0,73,0.9726027397260274,0.9726027397260274,6.808219178082192,1.0,0.821917808219178
1,73,0.7808219178082192,0.7671232876712328,5.4520547945205475,1.0,0.7123287671232876
2,73,0.7808219178082192,0.7671232876712328,5.4520547945205475,1.0,0.6301369863013698
3,73,0.8082191780821918,0.8082191780821918,5.657534246575342,1.0,0.684931506849315
4,73,0.7808219178082192,0.7671232876712328,5.4520547945205475,1.0,0.726027397260274
5,73,0.8767123287671232,0.863013698630137,6.123287671232877,1.0,0.6575342465753424
6,73,0.7123287671232876,0.6986301369863014,4.972602739726027,1.0,0.6301369863013698
7,73,0.7671232876712328,0.7534246575342466,5.3561643835616435,1.0,0.547945205479452
8,73,0.7808219178082192,0.7808219178082192,5.465753424657534,1.0,0.6986301369863014
9,73,0.821917808219178,0.821917808219178,5.7534246575342465,1.0,0.6438356164383562
10,73,0.6986301369863014,0.6986301369863014,4.890410958904109,1.0,0.6301369863013698
11,73,0.7397260273972602,0.7397260273972602,5.178082191780822,1.0,0.7123287671232876
12,73,0.8356164383561644,0.821917808219178,5.821917808219178,1.0,0.7123287671232876
13,73,0.8082191780821918,0.8082191780821918,5.657534246575342,1.0,0.6301369863013698
14,73,0.7808219178082192,0.7671232876712328,5.4520547945205475,1.0,0.6164383561643836
