feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
daily_load,fatigue_mean_28d,23819,0.025813815410716125,0.02943489978456757,0.02943489978456757
fatigue_mean_28d,daily_load,23819,0.025813815410716125,0.02943489978456757,0.02943489978456757
daily_load,readiness_mean_3d,20190,0.09491760395356787,0.08675018910767149,0.08675018910767149
readiness_mean_3d,daily_load,20190,0.09491760395356787,0.08675018910767149,0.08675018910767149
daily_load,readiness_mean_7d,21480,0.0746350291920846,0.07359900695953923,0.07359900695953923
readiness_mean_7d,daily_load,21480,0.0746350291920846,0.07359900695953923,0.07359900695953923
daily_load,readiness_mean_14d,22579,0.06500508028731976,0.0704507187288746,0.0704507187288746
readiness_mean_14d,daily_load,22579,0.06500508028731976,0.0704507187288746,0.0704507187288746
daily_load,readiness_mean_28d,23815,0.056459396008847806,0.06832139973754643,0.06832139973754643
readiness_mean_28d,daily_load,23815,0.056459396008847806,0.06832139973754643,0.06832139973754643
daily_load,daily_load_baseline_mean_prior,36500,0.40181754124728164,0.4800281045616959,0.4800281045616959
daily_load_baseline_mean_prior,daily_load,36500,0.40181754124728164,0.4800281045616959,0.4800281045616959
daily_load,daily_load_zscore_prior,27598,0.6381320167216977,0.862875505611107,0.862875505611107
daily_load_zscore_prior,daily_load,27598,0.6381320167216977,0.862875505611107,0.862875505611107
daily_load,fatigue_baseline_mean_prior,27327,0.023680749463331128,0.01408079980666796,0.01408079980666796
fatigue_baseline_mean_prior,daily_load,27327,0.023680749463331128,0.01408079980666796,0.01408079980666796
daily_load,fatigue_zscore_prior,16806,0.08339146497708111,0.07536139386771887,0.07536139386771887
fatigue_zscore_prior,daily_load,16806,0.08339146497708111,0.07536139386771887,0.07536139386771887
daily_load,readiness_baseline_mean_prior,27323,-0.009848430023574406,0.0007249926570193639,0.0007249926570193639
readiness_baseline_mean_prior,daily_load,27323,-0.009848430023574406,0.0007249926570193639,0.0007249926570193639
daily_load,readiness_zscore_prior,16858,0.19908080228803662,0.19275062372962465,0.19275062372962465
readiness_zscore_prior,daily_load,16858,0.19908080228803662,0.19275062372962465,0.19275062372962465
daily_load,wellness_report_present,36550,0.542105062895183,0.6352197186924297,0.6352197186924297
wellness_report_present,daily_load,36550,0.542105062895183,0.6352197186924297,0.6352197186924297
daily_load,session_recorded,36550,0.8186461979218097,0.9610106462954905,0.9610106462954905
session_recorded,daily_load,36550,0.8186461979218097,0.9610106462954905,0.9610106462954905
daily_load,daily_load_log1p,36550,0.8825588128038709,1.0,1.0
daily_load_log1p,daily_load,36550,0.8825588128038709,1.0,1.0
daily_load,session_duration_minutes_log1p,36550,0.8659251327101212,0.9869385719660752,0.9869385719660752
session_duration_minutes_log1p,daily_load,36550,0.8659251327101212,0.9869385719660752,0.9869385719660752
daily_load,session_srpe_log1p,36550,0.8813864959830099,0.9991975283233818,0.9991975283233818
session_srpe_log1p,daily_load,36550,0.8813864959830099,0.9991975283233818,0.9991975283233818
daily_load,daily_load_sum_3d_log1p,36550,0.6559191967225056,0.7867838348337707,0.7867838348337707
daily_load_sum_3d_log1p,daily_load,36550,0.6559191967225056,0.7867838348337707,0.7867838348337707
daily_load,daily_load_sum_7d_log1p,36550,0.5935135946857947,0.7303870429504513,0.7303870429504513
daily_load_sum_7d_log1p,daily_load,36550,0.5935135946857947,0.7303870429504513,0.7303870429504513
daily_load,daily_load_sum_14d_log1p,36550,0.5555578111126251,0.6940573864735896,0.6940573864735896
daily_load_sum_14d_log1p,daily_load,36550,0.5555578111126251,0.6940573864735896,0.6940573864735896
daily_load,daily_load_sum_28d_log1p,36550,0.518793089257405,0.6597543355570147,0.6597543355570147
daily_load_sum_28d_log1p,daily_load,36550,0.518793089257405,0.6597543355570147,0.6597543355570147
daily_load,session_duration_sum_3d_log1p,36550,0.6576959366605108,0.793738346085941,0.793738346085941
session_duration_sum_3d_log1p,daily_load,36550,0.6576959366605108,0.793738346085941,0.793738346085941
daily_load,session_duration_sum_7d_log1p,36550,0.5964451524443721,0.7328278177667831,0.7328278177667831
session_duration_sum_7d_log1p,daily_load,36550,0.5964451524443721,0.7328278177667831,0.7328278177667831
daily_load,session_duration_sum_14d_log1p,36550,0.55981047328702,0.6959784953005573,0.6959784953005573
session_duration_sum_14d_log1p,daily_load,36550,0.55981047328702,0.6959784953005573,0.6959784953005573
daily_load,session_duration_sum_28d_log1p,36550,0.5240226789663892,0.6615717698571542,0.6615717698571542
session_duration_sum_28d_log1p,daily_load,36550,0.5240226789663892,0.6615717698571542,0.6615717698571542
daily_load,session_srpe_sum_3d_log1p,36550,0.6552824404087539,0.7863415090878613,0.7863415090878613
session_srpe_sum_3d_log1p,daily_load,36550,0.6552824404087539,0.7863415090878613,0.7863415090878613
daily_load,session_srpe_sum_7d_log1p,36550,0.5931165927590066,0.730286413440559,0.730286413440559
session_srpe_sum_7d_log1p,daily_load,36550,0.5931165927590066,0.730286413440559,0.730286413440559
daily_load,session_srpe_sum_14d_log1p,36550,0.5552115423498823,0.6940840404541635,0.6940840404541635
session_srpe_sum_14d_log1p,daily_load,36550,0.5552115423498823,0.6940840404541635,0.6940840404541635
daily_load,session_srpe_sum_28d_log1p,36550,0.5184970667364234,0.6599635261329918,0.6599635261329918
session_srpe_sum_28d_log1p,daily_load,36550,0.5184970667364234,0.6599635261329918,0.6599635261329918
fatigue,fatigue,16992,1.0,1.0,1.0
fatigue,readiness,16983,0.48524921251816827,0.47860941122815637,0.47860941122815637
readiness,fatigue,16983,0.48524921251816827,0.47860941122815637,0.47860941122815637
fatigue,wellness_metric_count,16992,0.038832159132907905,0.030890145861636253,0.030890145861636253
wellness_metric_count,fatigue,16992,0.038832159132907905,0.030890145861636253,0.030890145861636253
fatigue,session_count,16992,0.08645247529920232,0.08627712796398575,0.08627712796398575
session_count,fatigue,16992,0.08645247529920232,0.08627712796398575,0.08627712796398575
fatigue,session_duration_minutes,16992,0.08821094768410288,0.08567416067717562,0.08567416067717562
session_duration_minutes,fatigue,16992,0.08821094768410288,0.08567416067717562,0.08567416067717562
fatigue,session_srpe,16992,0.07268943492951856,0.07558602356788592,0.07558602356788592
session_srpe,fatigue,16992,0.07268943492951856,0.07558602356788592,0.07558602356788592
