root,short_window_days,long_window_days,pairwise_count,pearson,spearman,above_redundancy_threshold
daily_load,3,7,36550,0.9294057399197191,0.9218450350204798,true
daily_load,7,14,36550,0.9511743507475067,0.9551151247907891,true
daily_load,14,28,36550,0.9481658961579483,0.9575650438655646,true
session_duration,3,7,36550,0.9340224366481918,0.9240295738415558,true
session_duration,7,14,36550,0.9557931387185151,0.957246707659083,true
session_duration,14,28,36550,0.9528743768571086,0.9596815175488669,true
session_srpe,3,7,36550,0.9294033014752213,0.9215062954925685,true
session_srpe,7,14,36550,0.9511301949250077,0.9542552440129697,true
session_srpe,14,28,36550,0.9481529790318146,0.9567973482228027,true
