operating_point_type,operating_point_value,source_player_days,eligible_player_days,alert_count,alerts_per_100_player_days,positive_alert_days,precision,represented_onsets,captured_onsets,recall,false_alerts_per_captured_onset
top_n_per_team_day,1.0,16815,16815,674,4.008325899494499,34,0.050445103857566766,18,9,0.5,71.11111111111111
top_n_per_team_day,3.0,16815,16815,2022,12.024977698483497,62,0.03066271018793274,18,13,0.7222222222222222,150.76923076923077
top_n_per_team_day,5.0,16815,16815,3370,20.041629497472496,69,0.020474777448071215,18,13,0.7222222222222222,253.92307692307693
percentile,0.01,16815,16815,169,1.0050550104073743,8,0.047337278106508875,18,2,0.1111111111111111,80.5
percentile,0.025,16815,16815,421,2.503716919417187,38,0.09026128266033254,18,11,0.6111111111111112,34.81818181818182
percentile,0.05,16815,16815,841,5.001486767766875,56,0.06658739595719382,18,13,0.7222222222222222,60.38461538461539
capacity_sensitivity,0.05,16815,16815,841,5.001486767766875,56,0.06658739595719382,18,13,0.7222222222222222,60.38461538461539
capacity_sensitivity,0.1,16815,16815,1682,10.00297353553375,64,0.03804994054696789,18,14,0.7777777777777778,115.57142857142857
capacity_sensitivity,0.2,16815,16815,3363,20.0,81,0.02408563782337199,18,15,0.8333333333333334,218.8
