fold_id,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,log_loss,average_precision,roc_auc,interpretation_role
RO1,197,4226,62,0.014093007432112946,0.07386032123192574,0.1994274234336076,0.8446883424746677,estimable_development_fold
RO2,265,4248,14,0.0037033115846920543,0.03394304890888381,0.030986706817839632,0.845232471826709,estimable_development_fold
RO3,280,4141,28,0.006781055974201256,0.04230302071776971,0.0426875756048424,0.8102184710499809,estimable_development_fold
RO4,308,4200,0,0.0007092785657789124,0.01782870072794959,,,temporal_stress_only
