candidate_arm,metric,arm_a_reference_value,candidate_value,arm_d_f1_value,f1_minus_a_gap,f1_minus_candidate_gap,gap_closed
B,average_precision,0.022308170813787043,0.020426658492219734,0.023315685878576374,0.0010075150647893306,0.00288902738635664,false
B,roc_auc,0.6309277147524747,0.6170419163256953,0.6425784191104748,0.011650704358000086,0.02553650278477948,false
C,average_precision,0.022308170813787043,0.02250006829102736,0.023315685878576374,0.0010075150647893306,0.000815617587549014,true
C,roc_auc,0.6309277147524747,0.6312220273649927,0.6425784191104748,0.011650704358000086,0.011356391745482086,true
