arm,average_precision,roc_auc,brier_score,heldout_player_count,estimable_player_count,zero_positive_player_count,training_not_estimable_player_count
A,0.022308170813787043,0.6309277147524747,0.01197461374264493,50,12,38,0
B,0.020426658492219738,0.6170419163256953,0.011990208106674905,50,12,38,0
C,0.02250006829102736,0.6312220273649927,0.011969606563503871,50,12,38,0
D,0.023315685878576374,0.6425784191104748,0.011977458341399643,50,12,38,0
