arm,pooled_player_days,pooled_positive_days,prevalence,brier_score,log_loss,mean_prediction,observed_rate,calibration_intercept,calibration_slope,discrimination_player_days,discrimination_positive_days,average_precision,roc_auc,predictor_count,estimable_fold_count
A,16815,104,0.006184953910199227,0.00628654328944444,0.04146695963451542,0.02304914206901445,0.006184953910199227,2.5756518602481666,2.2220641456179715,12615,104,0.07906727416451077,0.8524413900383048,,3
B,16815,104,0.006184953910199227,0.0063325301215113,0.04215058396301142,0.02317824539883351,0.006184953910199227,2.312426571696897,2.122823374743838,12615,104,0.09609054843915864,0.8314260373947848,,3
C,16815,104,0.006184953910199227,0.006286964925485312,0.04153429683312067,0.023099968581896613,0.006184953910199227,2.90485619675198,2.322430023624067,12615,104,0.08769064647037034,0.8584461058883567,,3
D,16815,104,0.006184953910199227,0.006324593504925363,0.042008988471051396,0.023011779474262563,0.006184953910199227,2.0073194052313115,2.0194739348262893,12615,104,0.09666847794898005,0.8355366508241978,,3
