team_id,reference_type,feature,window_days,matched_event_count,player_count,mean_difference,median_difference
TeamB,reporting_reference,fatigue,3,1,1,0.3333333333333335,0.3333333333333335
TeamA,reporting_reference,fatigue,7,54,9,0.29391534391534396,0.20833333333333348
TeamB,reporting_reference,fatigue,7,1,1,0.4285714285714288,0.4285714285714288
TeamA,reporting_reference,fatigue,14,55,9,0.14851017669199484,0.20512820512820484
TeamB,reporting_reference,fatigue,14,1,1,0.2857142857142856,0.2857142857142856
TeamA,reporting_reference,fatigue,28,56,9,0.1362213583248007,0.16330728095433966
TeamB,reporting_reference,fatigue,28,1,1,0.2065217391304346,0.2065217391304346
TeamA,calendar_reference,readiness,3,47,9,-0.3546099290780142,0.0
TeamB,calendar_reference,readiness,3,1,1,1.666666666666667,1.666666666666667
TeamA,calendar_reference,readiness,7,51,9,-0.2897292250233427,0.0
TeamB,calendar_reference,readiness,7,1,1,2.0,2.0
TeamA,calendar_reference,readiness,14,53,9,-0.2759427155653571,-0.14285714285714324
TeamB,calendar_reference,readiness,14,1,1,1.7142857142857144,1.7142857142857144
TeamA,calendar_reference,readiness,28,53,9,-0.1813628867881452,-0.06084656084656004
TeamB,calendar_reference,readiness,28,1,1,2.1739130434782616,2.1739130434782616
TeamA,reporting_reference,readiness,3,52,9,-0.28205128205128205,0.0
TeamB,reporting_reference,readiness,3,1,1,0.0,0.0
TeamA,reporting_reference,readiness,7,55,9,-0.1519047619047619,0.0
TeamB,reporting_reference,readiness,7,1,1,0.5714285714285712,0.5714285714285712
TeamA,reporting_reference,readiness,14,56,9,-0.1930991627420199,-0.09821428571428559
TeamB,reporting_reference,readiness,14,1,1,0.5714285714285712,0.5714285714285712
TeamA,reporting_reference,readiness,28,56,9,-0.16252779775148668,-0.09060846560846514
TeamB,reporting_reference,readiness,28,1,1,1.0667701863354049,1.0667701863354049
TeamA,calendar_reference,session_count,3,66,11,0.05555555555555556,0.0
TeamB,calendar_reference,session_count,3,2,2,0.0,0.0
TeamA,calendar_reference,session_count,7,66,11,0.010822510822510824,0.0
TeamB,calendar_reference,session_count,7,2,2,0.07142857142857145,0.07142857142857145
TeamA,calendar_reference,session_count,14,66,11,0.014069264069264054,0.0714285714285714
TeamB,calendar_reference,session_count,14,2,2,0.0714285714285714,0.0714285714285714
TeamA,calendar_reference,session_count,28,66,11,-0.05411255411255411,0.05357142857142855
TeamB,calendar_reference,session_count,28,2,2,0.0892857142857143,0.0892857142857143
TeamA,reporting_reference,session_count,3,66,11,0.11616161616161616,0.0
TeamB,reporting_reference,session_count,3,2,2,0.16666666666666669,0.16666666666666669
TeamA,reporting_reference,session_count,7,66,11,0.047619047619047616,0.0
TeamB,reporting_reference,session_count,7,2,2,0.14285714285714285,0.14285714285714285
TeamA,reporting_reference,session_count,14,66,11,0.05086580086580085,0.0357142857142857
TeamB,reporting_reference,session_count,14,2,2,0.0,0.0
TeamA,reporting_reference,session_count,28,66,11,-0.005411255411255405,0.0357142857142857
TeamB,reporting_reference,session_count,28,2,2,-0.125,-0.125
TeamA,calendar_reference,session_duration_minutes_log1p,3,66,11,0.048943323159442886,0.1802280729673651
TeamB,calendar_reference,session_duration_minutes_log1p,3,2,2,-0.5437803581629985,-0.5437803581629985
TeamA,calendar_reference,session_duration_minutes_log1p,7,66,11,-0.043870488105492156,0.07933983770168396
TeamB,calendar_reference,session_duration_minutes_log1p,7,2,2,-0.13973503814234567,-0.13973503814234567
TeamA,calendar_reference,session_duration_minutes_log1p,14,66,11,-0.08196442819670913,-0.1253949064217723
TeamB,calendar_reference,session_duration_minutes_log1p,14,2,2,-0.025056483261352458,-0.025056483261352458
TeamA,calendar_reference,session_duration_minutes_log1p,28,66,11,-0.37995900228390944,-0.198821921721964
TeamB,calendar_reference,session_duration_minutes_log1p,28,2,2,0.162702744684862,0.162702744684862
TeamA,reporting_reference,session_duration_minutes_log1p,3,66,11,0.3110870036172076,0.18774927403316344
TeamB,reporting_reference,session_duration_minutes_log1p,3,2,2,0.7480068183490253,0.7480068183490253
TeamA,reporting_reference,session_duration_minutes_log1p,7,66,11,0.07552570968744428,0.03161334190794535
TeamB,reporting_reference,session_duration_minutes_log1p,7,2,2,0.4005164893705502,0.4005164893705502
TeamA,reporting_reference,session_duration_minutes_log1p,14,66,11,0.04510016387911375,0.0
TeamB,reporting_reference,session_duration_minutes_log1p,14,2,2,-0.09399685257651824,-0.09399685257651824
TeamA,reporting_reference,session_duration_minutes_log1p,28,66,11,-0.18657598459654592,-0.10922589469826649
TeamB,reporting_reference,session_duration_minutes_log1p,28,2,2,-0.4373715706559955,-0.4373715706559955
TeamA,calendar_reference,session_duration_sum_28d_log1p,3,66,11,-0.36235256111536096,0.006539904026253929
TeamB,calendar_reference,session_duration_sum_28d_log1p,3,2,2,0.22583038162284996,0.22583038162284996
TeamA,calendar_reference,session_duration_sum_28d_log1p,7,66,11,-0.4492336061222116,-0.0021764137135544814
TeamB,calendar_reference,session_duration_sum_28d_log1p,7,2,2,0.24240904702933141,0.24240904702933141
TeamA,calendar_reference,session_duration_sum_28d_log1p,14,66,11,-0.6288212527726814,0.0009447138907692221
TeamB,calendar_reference,session_duration_sum_28d_log1p,14,2,2,0.2528637259549944,0.2528637259549944
TeamA,calendar_reference,session_duration_sum_28d_log1p,28,66,11,-1.008544771452741,-0.07938740053461801
TeamB,calendar_reference,session_duration_sum_28d_log1p,28,2,2,1.262957384125916,1.262957384125916
TeamA,reporting_reference,session_duration_sum_28d_log1p,3,66,11,-0.05215456808128104,0.0007038914304242638
TeamB,reporting_reference,session_duration_sum_28d_log1p,3,2,2,-0.1458815281198067,-0.1458815281198067
TeamA,reporting_reference,session_duration_sum_28d_log1p,7,66,11,-0.14245396970806704,0.005781415082264818
TeamB,reporting_reference,session_duration_sum_28d_log1p,7,2,2,-0.24932059019550623,-0.24932059019550623
TeamA,reporting_reference,session_duration_sum_28d_log1p,14,66,11,-0.3111187674973188,0.004922901138121993
TeamB,reporting_reference,session_duration_sum_28d_log1p,14,2,2,-0.4147838867613354,-0.4147838867613354
TeamA,reporting_reference,session_duration_sum_28d_log1p,28,66,11,-0.6421413556204165,0.0
TeamB,reporting_reference,session_duration_sum_28d_log1p,28,2,2,-0.5407514219944142,-0.5407514219944143
TeamA,calendar_reference,session_duration_sum_7d_log1p,3,66,11,-0.27125565205542435,0.06496294826226601
TeamB,calendar_reference,session_duration_sum_7d_log1p,3,2,2,0.1597363134776537,0.1597363134776537
TeamA,calendar_reference,session_duration_sum_7d_log1p,7,66,11,-0.2701730034945085,0.07424806248098026
TeamB,calendar_reference,session_duration_sum_7d_log1p,7,2,2,0.214662772099536,0.214662772099536
TeamA,calendar_reference,session_duration_sum_7d_log1p,14,66,11,-0.3911584013852429,0.037949401102503444
TeamB,calendar_reference,session_duration_sum_7d_log1p,14,2,2,0.14098099772175132,0.14098099772175132
TeamA,calendar_reference,session_duration_sum_7d_log1p,28,66,11,-0.7732083992274893,-0.07650077740992911
TeamB,calendar_reference,session_duration_sum_7d_log1p,28,2,2,0.6679552134929807,0.6679552134929807
TeamA,reporting_reference,session_duration_sum_7d_log1p,3,66,11,0.0007997895832376621,0.05404829644431164
TeamB,reporting_reference,session_duration_sum_7d_log1p,3,2,2,0.1360640174002712,0.1360640174002712
TeamA,reporting_reference,session_duration_sum_7d_log1p,7,66,11,0.02069004728197765,0.10084449877191926
TeamB,reporting_reference,session_duration_sum_7d_log1p,7,2,2,0.03814566672463027,0.03814566672463027
TeamA,reporting_reference,session_duration_sum_7d_log1p,14,66,11,-0.1343663587218664,0.025118487829176583
TeamB,reporting_reference,session_duration_sum_7d_log1p,14,2,2,-0.09476475751625246,-0.09476475751625246
TeamA,reporting_reference,session_duration_sum_7d_log1p,28,66,11,-0.4750364107060903,0.0
TeamB,reporting_reference,session_duration_sum_7d_log1p,28,2,2,-0.5403940414587955,-0.5403940414587955
TeamA,calendar_reference,session_recorded,3,66,11,-0.010101010101010091,0.0
TeamB,calendar_reference,session_recorded,3,2,2,-0.16666666666666669,-0.16666666666666669
TeamA,calendar_reference,session_recorded,7,66,11,-0.021645021645021648,0.0
TeamB,calendar_reference,session_recorded,7,2,2,-0.0714285714285714,-0.0714285714285714
TeamA,calendar_reference,session_recorded,14,66,11,-0.032467532467532464,-0.0714285714285714
TeamB,calendar_reference,session_recorded,14,2,2,-0.0357142857142857,-0.0357142857142857
TeamA,calendar_reference,session_recorded,28,66,11,-0.0946969696969697,-0.07142857142857142
TeamB,calendar_reference,session_recorded,28,2,2,0.01785714285714285,0.01785714285714285
TeamA,reporting_reference,session_recorded,3,66,11,0.050505050505050504,0.0
TeamB,reporting_reference,session_recorded,3,2,2,0.16666666666666666,0.16666666666666666
TeamA,reporting_reference,session_recorded,7,66,11,0.006493506493506494,0.0
TeamB,reporting_reference,session_recorded,7,2,2,0.07142857142857145,0.07142857142857145
TeamA,reporting_reference,session_recorded,14,66,11,-0.004329004329004328,0.0
TeamB,reporting_reference,session_recorded,14,2,2,-0.0357142857142857,-0.0357142857142857
TeamA,reporting_reference,session_recorded,28,66,11,-0.051948051948051945,-0.03571428571428573
TeamB,reporting_reference,session_recorded,28,2,2,-0.10714285714285715,-0.10714285714285715
TeamA,calendar_reference,wellness_metric_count,3,66,11,-0.4292929292929293,0.0
TeamB,calendar_reference,wellness_metric_count,3,2,2,1.1666666666666665,1.1666666666666665
TeamA,calendar_reference,wellness_metric_count,7,66,11,-0.474025974025974,0.0
TeamB,calendar_reference,wellness_metric_count,7,2,2,0.5,0.5
TeamA,calendar_reference,wellness_metric_count,14,66,11,-0.45887445887445893,0.0
TeamB,calendar_reference,wellness_metric_count,14,2,2,1.25,1.25
TeamA,calendar_reference,wellness_metric_count,28,66,11,-0.7067099567099566,-0.017857142857142794
TeamB,calendar_reference,wellness_metric_count,28,2,2,1.125,1.125
TeamA,reporting_reference,wellness_metric_count,3,66,11,0.06565656565656566,0.0
TeamB,reporting_reference,wellness_metric_count,3,2,2,0.0,0.0
TeamA,reporting_reference,wellness_metric_count,7,66,11,0.038961038961038974,0.0
TeamB,reporting_reference,wellness_metric_count,7,2,2,0.0,0.0
TeamA,reporting_reference,wellness_metric_count,14,66,11,0.3582251082251082,0.0
TeamB,reporting_reference,wellness_metric_count,14,2,2,0.25,0.25
TeamA,reporting_reference,wellness_metric_count,28,66,11,0.031385281385281405,0.0
TeamB,reporting_reference,wellness_metric_count,28,2,2,-0.375,-0.375
TeamA,calendar_reference,wellness_report_present,3,66,11,-0.06060606060606061,0.0
TeamB,calendar_reference,wellness_report_present,3,2,2,0.16666666666666669,0.16666666666666669
TeamA,calendar_reference,wellness_report_present,7,66,11,-0.0670995670995671,0.0
TeamB,calendar_reference,wellness_report_present,7,2,2,0.07142857142857145,0.07142857142857145
TeamA,calendar_reference,wellness_report_present,14,66,11,-0.06493506493506493,0.0
TeamB,calendar_reference,wellness_report_present,14,2,2,0.17857142857142855,0.17857142857142855
TeamA,calendar_reference,wellness_report_present,28,66,11,-0.1001082251082251,0.0
TeamB,calendar_reference,wellness_report_present,28,2,2,0.1607142857142857,0.1607142857142857
TeamA,reporting_reference,wellness_report_present,3,66,11,0.0101010101010101,0.0
TeamB,reporting_reference,wellness_report_present,3,2,2,0.0,0.0
TeamA,reporting_reference,wellness_report_present,7,66,11,0.004329004329004329,0.0
TeamB,reporting_reference,wellness_report_present,7,2,2,0.0,0.0
TeamA,reporting_reference,wellness_report_present,14,66,11,0.05086580086580086,0.0
TeamB,reporting_reference,wellness_report_present,14,2,2,0.03571428571428571,0.03571428571428571
TeamA,reporting_reference,wellness_report_present,28,66,11,0.00487012987012987,0.0
TeamB,reporting_reference,wellness_report_present,28,2,2,-0.05357142857142859,-0.0535714285714286
