index_type,relative_day,feature,observed_count,anchor_count,player_count,event_weighted_mean,median,player_equal_mean
calendar_reference,-19,wellness_metric_count,68,68,13,4.838235294117647,7.0,4.743589743589744
calendar_reference,-18,wellness_metric_count,68,68,13,5.044117647058823,7.0,4.865384615384615
calendar_reference,-17,wellness_metric_count,68,68,13,4.323529411764706,7.0,4.048076923076923
calendar_reference,-16,wellness_metric_count,68,68,13,4.735294117647059,7.0,4.625
calendar_reference,-15,wellness_metric_count,68,68,13,5.352941176470588,7.0,4.891025641025641
calendar_reference,-14,wellness_metric_count,68,68,13,5.25,7.0,4.621794871794872
calendar_reference,-13,wellness_metric_count,68,68,13,5.147058823529412,7.0,4.330128205128205
calendar_reference,-12,wellness_metric_count,68,68,13,5.147058823529412,7.0,3.576923076923077
calendar_reference,-11,wellness_metric_count,68,68,13,5.5588235294117645,7.0,5.256410256410256
calendar_reference,-10,wellness_metric_count,68,68,13,5.044117647058823,7.0,3.948717948717949
calendar_reference,-9,wellness_metric_count,68,68,13,5.455882352941177,7.0,5.256410256410256
calendar_reference,-8,wellness_metric_count,68,68,13,5.352941176470588,7.0,4.846153846153846
calendar_reference,-7,wellness_metric_count,68,68,13,5.029411764705882,7.0,4.294871794871795
calendar_reference,-6,wellness_metric_count,68,68,13,5.352941176470588,7.0,5.121794871794871
calendar_reference,-5,wellness_metric_count,68,68,13,5.147058823529412,7.0,4.927350427350428
calendar_reference,-4,wellness_metric_count,68,68,13,5.25,7.0,4.876068376068376
calendar_reference,-3,wellness_metric_count,68,68,13,5.014705882352941,7.0,4.696581196581197
calendar_reference,-2,wellness_metric_count,68,68,13,5.25,7.0,4.517094017094017
calendar_reference,-1,wellness_metric_count,68,68,13,5.132352941176471,7.0,4.4252136752136755
calendar_reference,0,wellness_metric_count,68,68,13,4.926470588235294,7.0,4.780982905982906
event,-28,wellness_metric_count,68,68,13,3.8088235294117645,7.0,2.980769230769231
event,-27,wellness_metric_count,68,68,13,3.7058823529411766,7.0,2.3974358974358974
event,-26,wellness_metric_count,68,68,13,4.117647058823529,7.0,2.9294871794871797
event,-25,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.6089743589743586
event,-24,wellness_metric_count,68,68,13,4.0,7.0,3.544871794871795
event,-23,wellness_metric_count,68,68,13,3.8970588235294117,7.0,2.7371794871794872
event,-22,wellness_metric_count,68,68,13,4.014705882352941,7.0,2.9220085470085473
event,-21,wellness_metric_count,68,68,13,4.220588235294118,7.0,2.832264957264957
event,-20,wellness_metric_count,68,68,13,4.102941176470588,7.0,3.2168803418803416
event,-19,wellness_metric_count,68,68,13,4.294117647058823,7.0,3.3418803418803416
event,-18,wellness_metric_count,68,68,13,4.323529411764706,7.0,3.258547008547009
event,-17,wellness_metric_count,68,68,13,4.220588235294118,7.0,2.9732905982905984
event,-16,wellness_metric_count,68,68,13,4.411764705882353,7.0,3.008547008547009
event,-15,wellness_metric_count,68,68,13,4.720588235294118,7.0,3.6303418803418803
event,-14,wellness_metric_count,68,68,13,4.735294117647059,7.0,3.8643162393162394
event,-13,wellness_metric_count,68,68,13,4.735294117647059,7.0,3.7457264957264957
event,-12,wellness_metric_count,68,68,13,4.9411764705882355,7.0,3.9476495726495724
event,-11,wellness_metric_count,68,68,13,4.735294117647059,7.0,3.5373931623931627
event,-10,wellness_metric_count,68,68,13,4.514705882352941,7.0,3.4273504273504276
event,-9,wellness_metric_count,68,68,13,5.235294117647059,7.0,4.626068376068376
event,-8,wellness_metric_count,68,68,13,5.455882352941177,7.0,4.318376068376069
event,-7,wellness_metric_count,68,68,13,4.735294117647059,7.0,3.6036324786324787
event,-6,wellness_metric_count,68,68,13,4.9411764705882355,7.0,3.866452991452991
event,-5,wellness_metric_count,68,68,13,4.617647058823529,7.0,3.969932844932845
event,-4,wellness_metric_count,68,68,13,4.514705882352941,7.0,3.5459401709401708
event,-3,wellness_metric_count,68,68,13,4.588235294117647,7.0,3.722222222222222
event,-2,wellness_metric_count,68,68,13,4.823529411764706,7.0,3.9209401709401708
event,-1,wellness_metric_count,68,68,13,4.838235294117647,7.0,4.081196581196581
event,0,wellness_metric_count,68,68,13,6.794117647058823,7.0,6.439102564102564
reporting_reference,-28,wellness_metric_count,68,68,13,4.632352941176471,7.0,3.8354700854700856
reporting_reference,-27,wellness_metric_count,68,68,13,4.632352941176471,7.0,4.207264957264957
reporting_reference,-26,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.9732905982905984
reporting_reference,-25,wellness_metric_count,68,68,13,4.426470588235294,7.0,4.034188034188034
reporting_reference,-24,wellness_metric_count,68,68,13,4.426470588235294,7.0,3.818376068376068
reporting_reference,-23,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.69017094017094
reporting_reference,-22,wellness_metric_count,68,68,13,4.632352941176471,7.0,4.087606837606837
reporting_reference,-21,wellness_metric_count,68,68,13,4.426470588235294,7.0,3.9209401709401708
reporting_reference,-20,wellness_metric_count,68,68,13,4.9411764705882355,7.0,4.2094017094017095
reporting_reference,-19,wellness_metric_count,68,68,13,4.632352941176471,7.0,3.9764957264957266
reporting_reference,-18,wellness_metric_count,68,68,13,4.632352941176471,7.0,3.931623931623932
reporting_reference,-17,wellness_metric_count,68,68,13,4.014705882352941,7.0,3.652777777777778
reporting_reference,-16,wellness_metric_count,68,68,13,4.426470588235294,7.0,4.101495726495727
reporting_reference,-15,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.6602564102564106
reporting_reference,-14,wellness_metric_count,68,68,13,4.117647058823529,7.0,3.4871794871794872
reporting_reference,-13,wellness_metric_count,68,68,13,4.323529411764706,7.0,4.011752136752137
reporting_reference,-12,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.5854700854700856
reporting_reference,-11,wellness_metric_count,68,68,13,4.220588235294118,7.0,3.9123931623931627
reporting_reference,-10,wellness_metric_count,68,68,13,4.426470588235294,7.0,3.707264957264957
