transformed_feature,standardised_coefficient,odds_ratio_per_standard_deviation,coefficient_role
__intercept__,-4.239071556378483,0.014420974691509287,intercept
daily_load_log1p,0.007831569216923406,1.007862316168338,predictor_or_missing_indicator
daily_load_sum_7d_log1p,0.027475326265463475,1.0278562537420277,predictor_or_missing_indicator
daily_load_sum_28d_log1p,0.022000392560677852,1.02224418576323,predictor_or_missing_indicator
fatigue_lag1,-0.001130197796932474,0.9988704406360565,predictor_or_missing_indicator
readiness_lag1,-0.1054980306061535,0.8998762450557779,predictor_or_missing_indicator
fatigue_mean_prior_7d,-0.036285071346573924,0.9643653413680472,predictor_or_missing_indicator
fatigue_mean_prior_28d,-0.06374477780862954,0.9382444297748823,predictor_or_missing_indicator
readiness_mean_prior_7d,-0.16701926190844504,0.8461833120747264,predictor_or_missing_indicator
readiness_mean_prior_28d,-0.1411326932338808,0.86837407668793,predictor_or_missing_indicator
session_recorded,0.0028207531485438084,1.0028247352159692,predictor_or_missing_indicator
session_count,0.006492779459356846,1.0065139032445234,predictor_or_missing_indicator
session_duration_minutes_log1p,0.008722938850898329,1.0087610945445646,predictor_or_missing_indicator
session_duration_sum_7d_log1p,0.026519390450229822,1.0268741586209014,predictor_or_missing_indicator
session_duration_sum_28d_log1p,0.021416961048547255,1.0216479502403726,predictor_or_missing_indicator
wellness_report_present_lag1,0.012106176678263853,1.0121797530448662,predictor_or_missing_indicator
wellness_report_count_prior_7d,0.028228579032461378,1.028630780980006,predictor_or_missing_indicator
wellness_report_count_prior_28d,-0.002675799708883989,0.9973277770522136,predictor_or_missing_indicator
daily_load_robust_z_prior28,-0.027733846163321193,0.9726472061398265,predictor_or_missing_indicator
daily_load_robust_available,0.003784273448147326,1.003791442851721,predictor_or_missing_indicator
fatigue_lag1_robust_z_prior,0.04040865757974252,1.0412361963244086,predictor_or_missing_indicator
fatigue_robust_available,0.08521979132796936,1.088956383567194,predictor_or_missing_indicator
readiness_lag1_robust_z_prior,0.04104667172036569,1.0419007317103366,predictor_or_missing_indicator
readiness_robust_available,-0.02297464262757629,0.9772872648962246,predictor_or_missing_indicator
missingindicator_fatigue_lag1,-0.008497623638590674,0.991538379113707,predictor_or_missing_indicator
missingindicator_readiness_lag1,-0.010559130458316591,0.9894964214611184,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_7d,-0.040779839431313004,0.9600404697383812,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_28d,-0.023616877248691447,0.9766598186853397,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_7d,-0.040646070867853025,0.9601689015627604,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_28d,-0.023800913945534134,0.976480093976848,predictor_or_missing_indicator
missingindicator_daily_load_robust_z_prior28,-0.003784273448147326,0.9962228778908996,predictor_or_missing_indicator
missingindicator_fatigue_lag1_robust_z_prior,-0.07125513989721848,0.9312242693509862,predictor_or_missing_indicator
missingindicator_readiness_lag1_robust_z_prior,-0.011645220184762979,0.9884223229526746,predictor_or_missing_indicator
