reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate
0,869,0,0.0019820995731444197,0.009287677736620117,0.00799706614206168,0.0
1,869,0,0.009287677736620117,0.009724466030582858,0.009619226152555553,0.0
2,869,0,0.009724466030582858,0.009724466030582858,0.009724466030582881,0.0
3,869,0,0.009724466030582858,0.012268943383561538,0.011112581131511307,0.0
4,869,0,0.01226906499337397,0.014493429102535371,0.013360551087603043,0.0
5,869,6,0.014494676852352286,0.017000207180867703,0.015702166564061384,0.006904487917146145
6,869,0,0.017003654319212302,0.02052618760410857,0.018651883448448644,0.0
7,869,1,0.020528448312412746,0.025288464538204165,0.02287166310629288,0.0011507479861910242
8,869,2,0.025293577131682565,0.032231573523117535,0.028710746823664438,0.0023014959723820483
9,869,19,0.032234056284295196,0.15433826259692923,0.05874984983388656,0.02186421173762946
