fold_id,train_start,train_end,validation_start,validation_end,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,model_fit_status,interpretation_role
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014017526834508581,0.07297835186881899,0.23263449291711366,0.8692014502184623,0,fitted,estimable_development_fold
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.003795471555419552,0.034367956009274406,0.01634520235250308,0.7980801673527229,0,fitted,estimable_development_fold
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.006773099465475924,0.04155548833158833,0.047624351544611976,0.8516289812788719,0,fitted,estimable_development_fold
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0005475211798611726,0.016853346892438736,,,0,fitted,temporal_stress_only
