player_id,team_id,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,metric_support,model_fit_status,convergence_warning_count
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,308,512.0,0.0,0.0,0.00009038943957698815,0.009337941169930957,,,zero_positive_support,fitted,0
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,302,508.0,6.0,0.011811023622047244,0.011922303103505791,0.07624797279102243,0.007064052039696169,0.03652058432934925,estimable,fitted,0
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,308,512.0,0.0,0.0,0.0000552013482318607,0.007426643852043622,,,zero_positive_support,fitted,0
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,308,512.0,0.0,0.0,0.00006609157298572166,0.008034068505043183,,,zero_positive_support,fitted,0
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,308,512.0,0.0,0.0,0.00006556279237293268,0.008005335623228728,,,zero_positive_support,fitted,0
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,308,512.0,0.0,0.0,0.000058959011020982435,0.007708108414090153,,,zero_positive_support,fitted,0
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,308,512.0,0.0,0.0,0.00014574185264546258,0.010653381760154805,,,zero_positive_support,fitted,0
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,308,512.0,0.0,0.0,0.00005895901102098225,0.007708108414090153,,,zero_positive_support,fitted,0
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,308,512.0,0.0,0.0,0.000099688193168067,0.00965534080479219,,,zero_positive_support,fitted,0
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,308,512.0,0.0,0.0,0.000047267503490143403,0.006407019687118511,,,zero_positive_support,fitted,0
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,308,512.0,0.0,0.0,0.00016950650245530296,0.01035396022638894,,,zero_positive_support,fitted,0
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,308,512.0,0.0,0.0,0.00004883185539329321,0.006910405038102928,,,zero_positive_support,fitted,0
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,308,512.0,0.0,0.0,0.000059353807096004036,0.0075185776530341236,,,zero_positive_support,fitted,0
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,308,512.0,0.0,0.0,0.0003445808375997998,0.01609641120409639,,,zero_positive_support,fitted,0
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,308,512.0,0.0,0.0,0.0007064937530783261,0.020398426378523578,,,zero_positive_support,fitted,0
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,308,512.0,0.0,0.0,0.00023380548056002313,0.01374927659622855,,,zero_positive_support,fitted,0
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,308,512.0,0.0,0.0,0.0001752478232178919,0.013016616655504003,,,zero_positive_support,fitted,0
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,308,512.0,0.0,0.0,0.00015162072847676875,0.010605154749107603,,,zero_positive_support,fitted,0
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,308,512.0,0.0,0.0,0.00006684090707995381,0.008019794148351085,,,zero_positive_support,fitted,0
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,308,512.0,0.0,0.0,0.0012876193537450144,0.03312047749974404,,,zero_positive_support,fitted,0
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,308,512.0,0.0,0.0,0.00006105197530697197,0.007828981308255017,,,zero_positive_support,fitted,0
