team_id,month,feature,observed_count,mean,median,p95
TeamA,2021-05-01,fatigue,525,3.0304761904761905,3.0,4.0
TeamA,2021-10-01,fatigue,614,3.1368078175895766,3.0,4.0
TeamA,2020-04-01,fatigue,333,3.021021021021021,3.0,4.0
TeamB,2021-04-01,fatigue,276,2.9746376811594204,3.0,4.0
TeamA,2021-04-01,fatigue,497,3.062374245472837,3.0,4.0
TeamB,2021-03-01,fatigue,381,2.989501312335958,3.0,4.0
TeamB,2020-12-01,fatigue,71,2.9014084507042255,3.0,4.0
TeamA,2021-12-01,fatigue,385,3.0727272727272728,3.0,4.0
TeamB,2020-09-01,fatigue,253,2.960474308300395,3.0,4.0
TeamA,2020-06-01,fatigue,438,3.146118721461187,3.0,4.0
TeamB,2021-02-01,fatigue,285,2.9543859649122806,3.0,4.0
TeamA,2020-08-01,fatigue,559,3.0697674418604652,3.0,4.0
TeamA,2020-10-01,fatigue,554,3.160649819494585,3.0,4.0
TeamA,2020-02-01,fatigue,0,,,
TeamB,2020-06-01,fatigue,248,2.838709677419355,3.0,4.0
TeamB,2020-10-01,fatigue,268,2.9477611940298507,3.0,4.0
TeamB,2021-09-01,fatigue,376,2.9574468085106385,3.0,4.0
TeamB,2021-07-01,readiness,181,7.011049723756906,7.0,9.0
TeamA,2020-10-01,readiness,554,6.902527075812275,7.0,9.0
TeamA,2021-02-01,readiness,575,6.667826086956522,7.0,8.0
TeamA,2020-02-01,readiness,0,,,
TeamA,2021-09-01,readiness,643,6.483670295489891,7.0,9.0
TeamA,2021-08-01,readiness,687,6.746724890829694,7.0,9.0
TeamA,2020-03-01,readiness,160,6.14375,6.0,9.0
TeamB,2021-10-01,readiness,358,6.653631284916201,7.0,9.0
TeamA,2020-04-01,readiness,333,6.306306306306307,6.0,8.0
TeamB,2020-07-01,readiness,245,7.024489795918368,7.0,9.0
TeamB,2021-04-01,readiness,277,7.126353790613718,7.0,9.0
TeamB,2020-03-01,readiness,303,7.141914191419142,8.0,9.0
TeamA,2021-10-01,readiness,614,6.6172638436482085,7.0,9.0
TeamB,2020-06-01,readiness,248,7.254032258064516,7.0,9.0
TeamA,2020-06-01,readiness,438,6.602739726027397,7.0,9.0
TeamB,2021-11-01,readiness,121,6.24793388429752,6.0,8.0
TeamA,2021-01-01,readiness,549,6.872495446265938,7.0,9.0
TeamB,2021-03-01,readiness,384,7.1171875,7.0,9.0
TeamB,2021-05-01,readiness,339,6.911504424778761,7.0,9.0
TeamB,2020-09-01,readiness,254,7.200787401574803,7.0,9.0
TeamB,2021-06-01,readiness,272,7.180147058823529,7.0,9.0
TeamB,2020-02-01,readiness,229,7.14410480349345,7.0,9.0
TeamB,2021-12-01,readiness,0,,,
TeamB,2020-04-01,readiness,260,6.838461538461538,7.0,8.0
TeamA,2020-12-01,readiness,323,6.95046439628483,7.0,9.0
TeamB,2021-09-01,readiness,376,6.88031914893617,7.0,8.0
TeamA,2021-03-01,readiness,615,6.744715447154472,7.0,9.0
TeamB,2020-10-01,readiness,268,6.962686567164179,7.0,9.0
TeamA,2021-06-01,readiness,545,6.814678899082569,7.0,9.0
TeamA,2021-12-01,readiness,385,6.514285714285714,7.0,9.0
TeamB,2021-02-01,readiness,285,7.059649122807017,7.0,9.0
