feature,observed_count,within_sum_squares,between_sum_squares,within_share,between_share
daily_load,36550,2774777357.592339,472381087.0458276,0.8545247806352532,0.14547521936474692
fatigue,16992,4725.830571119034,1854.7494076945252,0.7181480335067782,0.28185196649322175
readiness,16997,24162.75750822636,12189.486887843535,0.6646840631066686,0.33531593689333145
session_duration_minutes,36550,64582171.0123119,13139461.890259918,0.8309420247676612,0.16905797523233884
session_srpe,36550,2731382746.101231,453800995.99247605,0.8575275297323411,0.14247247026765886
